Program_ID,Year_ID,Category_ID,FMR_Code,Program_Name,Program_Name_HI,Program_Description,Nodal_Officer,Display_Order,Status
PRG0047,FY2627,CAT05,HSS.9,HRH,,HRH services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,47,Active
PRG0048,FY2627,CAT05,HSS.10,Enhancing HR,,Enhancing HR services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,48,Active
PRG0049,FY2627,CAT05,HSS.11,Technical Assistance,,Technical Assistance services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,49,Active
PRG0050,FY2627,CAT05,HSS.12,IT interventions and systems,,IT interventions and systems services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,50,Active
PRG0051,FY2627,CAT05,HSS.13,Innovation,,Innovation services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,51,Active
PRG0052,FY2627,CAT05,HSS.14,Untied Grants,,Untied Grants services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,52,Active
PRG0053,FY2627,CAT05,HSS.15,Infrastructure Maintenance,,Infrastructure Maintenance services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,53,Active
PRG0054,FY2627,CAT05,HSS.16,Programme Management,,Programme Management services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,54,Active
PRG0055,FY2627,CAT05,HSS.17,Ayushman Arogya Mandir - Operational Cost,,Ayushman Arogya Mandir - Operational Cost services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,55,Active
PRG0056,FY2627,CAT05,HSS.18,Biomedical Equipment Management & Maintenance,,Biomedical Equipment Management & Maintenance services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,56,Active
PRG0057,FY2627,CAT05,HSS.19,Digital Health Initiatives,,Digital Health Initiatives services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,57,Active
PRG0058,FY2627,CAT05,HSS.20,Grievance Redressal Systems,,Grievance Redressal Systems services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,58,Active
